Marketplace,Category,Brand,Name,Old_Price_Reais,Old_Price_Cents,New_Price_Reais,New_Price_Cents,Reviews_Rating,Reviews_Total,Ad_Link
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Digital Feminino Masculino Adulto Infantil Esporte,51,90,5,09,4.0,(347),https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=HZT863VmZyQakocCFITI%2BUBL%2B8K0sOharGdyZlWfT5fAWdn8D4aYk4Ya%2FFsF1mzj8Jnw6HCPvqzEHshSPLrkJiGGZadjHrTQi8yqCQvceZlmu7l%2F8AsASrD3O%2BsQCDAetBWzw6tf8norZNgSWN%2FLPa%2BoXRD65n2mlY%2B2CCda6hVraGd2RyOUyi6ObUdkJY9uSNq5IJYo96gOc1pYDmSw7kckLxaeNenHvPTomdL4Wg0VOgksmdAbfImMqc7OSo1n1wGku3heOW2brlOTWKSI4TctNpa%2BbXMVs06B25VFwa74so83l%2BushtM740pZcwtC9JQIXx6QeybueAahnJ4w%2BtgxAYN6q%2B3IQnIc8IUrXEQ0fYzncGh8Uj0mKMgqm1ILyxorYwgnwFnPuNQ19BkFUoGVdtD2OeY%2FHe%2Fx2pMkl5PXO8vW5s2mUyyHVKbbQKbO6gcedPFKJBjcd4ZeieWHV9NW7da1qCgiWeAtZTn5vZq0pH06qgPSQsbSMfmsB7KU7DcQT5TqPWivrnDaZs5%2BG%2F38yOAvU2DB0ohlbqd35cG0iZGZQaLkRP1761j%2Bla0HSxCtbO2tWdI%2FMU%2FNBImYwLk6AZUNuHRvX8aiGYzyhufba5MwqkX8z16BZ4KZ4MBbq5s1tamigoU2Je2GVQ1Drl33RM7FWrqsInhHDcNtsMTPfUQwfJpYK0whOhSixkwVW7a%2F7ED4rziNOKPX5Ss2I65aP59r5wUgkz05E7yOtLikXPhC%2B4JdwFwaXXLyaJlw2%2FUkh5A%2BF4jHhepcLGXsxxDWJ6sebAiUKscZK4StpYIO9PEEqAEcVezEygLWaBJa2jquoGsN4i5ukFaJ6dG1qHZmHLAq0ZLuMQXA%2FpAj%2FwA%3D&rb=x#polycard_client=search-nordic&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Preto Masculino De Luxo Casual Prova D´água Barato,78,90,7,73,4.6,(317),https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=%2B3oSjbME8byEaOSHuRk6UjIAEg%2F9PNwLWB03jweH8hognZ1U1%2BokLidDsQPnBY%2BWeD7aC1ERerXHB8v8yW6KbNI%2F31%2FSm9WfCsdQtpXFtOOCUjm%2FmFq8OlSK1xGuWB5HKSR41VoOWUeJxdHdO3xQCtln%2BZn1sDv%2BFYLs37U7o3uqj4mhNInr3eDlUU10HL8A9R6SYyrKTLU21O%2FtoUeuQUAdMxSJuCdqB7BwgOU1e0KVzTN62RaV8j0q9KNQ8StgLzrC1Rz9pOI9xu91eL2smjZVgjNF6xA1FwqpcEWpnJje3rWvaYiP5XJYMhiiOm0kjoNYR%2B2nZgJhipY%2B%2B6L0URFq7e0qS9N588mZeeMDtX881kpa1%2FjFFg%2FFHZTGHgta6MZWjkvrg7wozdbCs3em7%2F5EFSjxX3rVKnI6QHA9ujbSv1HgOmDSpHNpIVImtmHV8WCyAwM0%2FlcGg%2FMYxNX7MMbUnjs%2FBV9c3yWUq83meMxOhWcJn5o54W8wbHkEZZnvKIUjdBTGbShAhG5NdcFQa%2FfYEusWNtkJTvlR9PsjyXzjS0%2BU0M41Aajk8yAan9%2Br%2FTsdvhq5BjZvQ9oSlVgU1rbG571qiqQJQZeMAwoY879F59jcTuvG3Cm8%2FG37%2BoW3W7mKq%2BBB1v2vBMZpscq3dl2IlW8bdH6BRROb%2FDVz%2F9wmILoL9Lx1Szo1lrGIXjPzERgAiWyL5KXypTQoYIA52tK5apWmim1TYaDkRgMVqnuwewjhrbprDcJc33bmsMziHBBDeJPLYJVTp3Y8aX36gnxmHKhcKUfmOTpIwGS%2FceiDmDR0GW72J14%2BsXYkCcDFcYt%2F7g35CegNVKdR1f3hLB9MDQLCMUqnW1S0PBDnRCI%3D&rb=x#polycard_client=search-nordic&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino Digital Illuminator W-218h-3avdf Correia Preta,275,36,118,40,4.8,(4777),https://www.mercadolivre.com.br/relogio-casio-masculino-digital-illuminator-w-218h-3avdf-correia-preta/p/MLB18115559#polycard_client=search-nordic&wid=MLB5233086282&sid=search&searchVariation=MLB18115559&position=3&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Collection W800HG 9AVDF Preto - Mostrador dourado,247,70,159,60,4.8,(1262),https://www.mercadolivre.com.br/relogio-casio-collection-w800hg-9avdf-preto-mostrador-dourado/p/MLB17425094#polycard_client=search-nordic&wid=MLB3384847017&sid=search&searchVariation=MLB17425094&position=4&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,POEDAGAR,Relógio luminoso clássico Poedagar com fundo azul de calendário de aço inoxidável,122,88,12,05,4.7,(1064),https://www.mercadolivre.com.br/relogio-luminoso-classico-poedagar-com-fundo-azul-de-calendario-de-aco-inoxidavel/p/MLB35778747#polycard_client=search-nordic&wid=MLB3709235171&sid=search&searchVariation=MLB35778747&position=7&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino W-96h-1bvdf Correia Preto Bisel Preto Fundo Cinza,229,23,199,53,4.8,(142),https://www.mercadolivre.com.br/relogio-casio-masculino-w-96h-1bvdf-correia-preto-bisel-preto-fundo-cinza/p/MLB24884361#polycard_client=search-nordic&wid=MLB3570889999&sid=search&searchVariation=MLB24884361&position=5&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CHAMPION,Relógio Masculino Champion Executivo Couro Luxo Original Cor Da Correia Preto Cor Do Bisel Dourado Cor Do Fundo Preto,229,75,171,84,4.7,(238),https://www.mercadolivre.com.br/relogio-masculino-champion-executivo-couro-luxo-original-cor-da-correia-preto-cor-do-bisel-dourado-cor-do-fundo-preto/p/MLB21861895#polycard_client=search-nordic&wid=MLB3549963797&sid=search&searchVariation=MLB21861895&position=13&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,NIBOSI,Relógio de pulso Nibosi NI2309 com corria de aço inoxidável cor dourado - fondo preto,167,37,16,,4.7,(3007),https://www.mercadolivre.com.br/relogio-de-pulso-nibosi-ni2309-com-corria-de-aco-inoxidavel-cor-dourado-fondo-preto/p/MLB17776106#polycard_client=search-nordic&wid=MLB3537646225&sid=search&searchVariation=MLB17776106&position=17&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,ORIENT,Relógio Pulso Masculino Orient Casual Moderno Prova D'água Cor da correia Prateado Cor do bisel Prateado Cor do fundo Preto C/ Vermelho,442,09,374,99,4.8,(143),https://www.mercadolivre.com.br/relogio-pulso-masculino-orient-casual-moderno-prova-dagua-cor-da-correia-prateado-cor-do-bisel-prateado-cor-do-fundo-preto-c-vermelho/p/MLB23344323#polycard_client=search-nordic&wid=MLB3359836221&sid=search&searchVariation=MLB23344323&position=9&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,POEDAGAR,Relógio Poedagar De Luxo Com Caixa Correia Prateado Bisel Prateado Fundo Verde,125,25,12,,4.7,(1064),https://www.mercadolivre.com.br/relogio-poedagar-de-luxo-com-caixa-correia-prateado-bisel-prateado-fundo-verde/p/MLB35813646#polycard_client=search-nordic&wid=MLB5130857762&sid=search&searchVariation=MLB35813646&position=6&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,KNUP,Relogio Masculino Sport Militar Shock Tatico Prova D'água Cor da correia Preto / Pulseira Preto,78,99,75,04,4.6,(1607),https://www.mercadolivre.com.br/relogio-masculino-sport-militar-shock-tatico-prova-dagua-cor-da-correia-preto-pulseira-preto/p/MLB27431005#polycard_client=search-nordic&wid=MLB3942759903&sid=search&searchVariation=MLB27431005&position=11&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio De Pulso Casio Youth W-218H Negro,215,36,149,61,4.8,(4777),https://www.mercadolivre.com.br/relogio-de-pulso-casio-youth-w-218h-negro/p/MLB18115557#polycard_client=search-nordic&wid=MLB4142836978&sid=search&searchVariation=MLB18115557&position=14&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Masculino Quartzo Prova D'água Kit Corrente Pulseira,78,99,49,76,4.3,(663),https://produto.mercadolivre.com.br/MLB-3632210361-relogio-masculino-quartzo-prova-dagua-kit-corrente-pulseira-_JM?searchVariation=185254629091#polycard_client=search-nordic&searchVariation=185254629091&position=47&search_layout=grid&type=item&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,SKMEI,Relógio A Prova Dágua Masculino Skmei 1335 Prata Digital,81,10,7,95,4.7,(167),https://www.mercadolivre.com.br/relogio-a-prova-dagua-masculino-skmei-1335-prata-digital/p/MLB24038225#polycard_client=search-nordic&wid=MLB3858299589&sid=search&searchVariation=MLB24038225&position=8&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,KNUP,Relogio Masculino Sport Militar Shock Tatico Prova D'água Cor Da Correia Azul / Pulseira Preto,78,99,7,74,4.6,(1607),https://www.mercadolivre.com.br/relogio-masculino-sport-militar-shock-tatico-prova-dagua-cor-da-correia-azul-pulseira-preto/p/MLB28081822#polycard_client=search-nordic&wid=MLB3865819579&sid=search&searchVariation=MLB28081822&position=15&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Dourado Masculino Technos Performance Racer Cor Do Fundo Preto,459,90,339,,4.7,(57),https://www.mercadolivre.com.br/relogio-dourado-masculino-technos-performance-racer-cor-do-fundo-preto/p/MLB42472203#polycard_client=search-nordic&wid=MLB5166896194&sid=search&searchVariation=MLB42472203&position=16&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino Collection Prata Correia Prateado Bisel Prateado Fundo Prateado,259,84,199,59,4.7,(2400),https://www.mercadolivre.com.br/relogio-casio-masculino-collection-prata-correia-prateado-bisel-prateado-fundo-prateado/p/MLB18332305#polycard_client=search-nordic&wid=MLB3059121261&sid=search&searchVariation=MLB18332305&position=10&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Masculino Analógico + Pulseira Corrente Banhado Ouro,85,99,49,87,4.3,(330),https://produto.mercadolivre.com.br/MLB-3537370408-relogio-masculino-analogico-pulseira-corrente-banhado-ouro-_JM?searchVariation=177986474699#polycard_client=search-nordic&searchVariation=177986474699&position=48&search_layout=grid&type=item&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,XUFENG,Relógio A Prova Dágua Xufeng SH-797 Esportivo Digital Com Luz Led Surf Surfista Mergulho Mergulhador Nadador Natação Resistente até 30 metros de Profundidade Alarme Cronômetro Pulseira Silicone Soft,78,90,47,34,4.7,(179),https://www.mercadolivre.com.br/relogio-a-prova-dagua-xufeng-sh-797-esportivo-digital-com-luz-led-surf-surfista-mergulho-mergulhador-nadador-nataco-resistente-ate-30-metros-de-profundidade-alarme-cronmetro-pulseira-silicone-soft/p/MLB27914000#polycard_client=search-nordic&wid=MLB4799983374&sid=search&searchVariation=MLB27914000&position=12&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Masculino Technos Soul Prateado Loja De Fábrica,429,11,289,,4.8,(346),https://www.mercadolivre.com.br/relogio-masculino-technos-soul-prateado-loja-de-fabrica/p/MLB23113940#polycard_client=search-nordic&wid=MLB3488277003&sid=search&searchVariation=MLB23113940&position=24&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,ORIENT,Relogio Orient Masculino Analógico Aço Original Prova D´agua Cor da correia Prata Cor do bisel Prateado Cor do fundo Prateado,359,11,284,99,4.6,(135),https://www.mercadolivre.com.br/relogio-orient-masculino-analogico-aco-original-prova-dagua-cor-da-correia-prata-cor-do-bisel-prateado-cor-do-fundo-prateado/p/MLB27600130#polycard_client=search-nordic&wid=MLB3633211213&sid=search&searchVariation=MLB27600130&position=18&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CHAMPION,Relógio Champion Masculino Analógico Dourado Original Cor da correia Preto Cor do fundo Azul,215,25,161,81,4.8,(296),https://www.mercadolivre.com.br/relogio-champion-masculino-analogico-dourado-original-cor-da-correia-preto-cor-do-fundo-azul/p/MLB19859090#polycard_client=search-nordic&wid=MLB3395680973&sid=search&searchVariation=MLB19859090&position=21&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CHAMPION,Relógio Masculino Champion Slim Preto All Black Sport Fino,384,29,288,22,5.0,(5),https://www.mercadolivre.com.br/relogio-masculino-champion-slim-preto-all-black-sport-fino/p/MLB41511602#polycard_client=search-nordic&wid=MLB3885057041&sid=search&searchVariation=MLB41511602&position=22&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,MONDAINE,Relógio Masculino Analógico Clássico Dourado Mondaine,269,67,184,,4.7,(26),https://www.mercadolivre.com.br/relogio-masculino-analogico-classico-dourado-mondaine/p/MLB35989151#polycard_client=search-nordic&wid=MLB5163255016&sid=search&searchVariation=MLB35989151&position=25&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,ORIENT,Relógio de pulso Orient MBSS1155A  com corria de aço inoxidável cor prata - fondo azul-escuro,397,39,278,17,4.8,(2386),https://www.mercadolivre.com.br/relogio-de-pulso-orient-mbss1155a-com-corria-de-aco-inoxidavel-cor-prata-fondo-azul-escuro/p/MLB17913852#polycard_client=search-nordic&wid=MLB3683540706&sid=search&searchVariation=MLB17913852&position=42&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino Collection Couro  Mtp-v001l-1budf-br,259,25,194,04,4.8,(2351),https://www.mercadolivre.com.br/relogio-casio-masculino-collection-couro-mtp-v001l-1budf-br/p/MLB17790538#polycard_client=search-nordic&wid=MLB3312157253&sid=search&searchVariation=MLB17790538&position=38&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,,Relógio Digital Feminino Masculino Adulto Infantil Esporte,51,90,5,09,4.0,(347),https://produto.mercadolivre.com.br/MLB-3963517914-relogio-digital-feminino-masculino-adulto-infantil-esporte-_JM?searchVariation=178623945610#polycard_client=search-nordic&searchVariation=178623945610&position=49&search_layout=grid&type=item&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio de pulso digital Casio com corria de resina cor preto - fundo digital,179,40,107,53,4.7,(1300),https://www.mercadolivre.com.br/relogio-de-pulso-digital-casio-com-corria-de-resina-cor-preto-fundo-digital/p/MLB24883875#polycard_client=search-nordic&wid=MLB3903508275&sid=search&searchVariation=MLB24883875&position=37&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CURREN,Relógio Masculino Curren 8363 Azul Pulseira Aço Original Cor da correia Prateado,172,86,16,,4.7,(169),https://www.mercadolivre.com.br/relogio-masculino-curren-8363-azul-pulseira-aco-original-cor-da-correia-prateado/p/MLB27825235#polycard_client=search-nordic&wid=MLB3805025161&sid=search&searchVariation=MLB27825235&position=43&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Combo Relógio Masculino Technos Militar + Pulseira (2 Itens) Cor Da Correia Prata,499,90,299,94,4.8,(60),https://www.mercadolivre.com.br/combo-relogio-masculino-technos-militar-pulseira-2-itens-cor-da-correia-prata/p/MLB27642317#polycard_client=search-nordic&wid=MLB4732909096&sid=search&searchVariation=MLB27642317&position=36&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,MORMAII,Relógio Mormaii Masculino Analógico Garopaba Mopc21jakg 8y,293,50,184,90,4.6,(118),https://www.mercadolivre.com.br/relogio-mormaii-masculino-analogico-garopaba-mopc21jakg-8y/p/MLB20680754#polycard_client=search-nordic&wid=MLB3442984653&sid=search&searchVariation=MLB20680754&position=45&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,QUEBEC,Relógio Masculino Dourado Aprova de Água Grande Quebec Original + carteira,68,90,6,75,4.4,(340),https://www.mercadolivre.com.br/relogio-masculino-dourado-aprova-de-agua-grande-quebec-original-carteira/p/MLB28500072#polycard_client=search-nordic&wid=MLB4859338592&sid=search&searchVariation=MLB28500072&position=40&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,SKMEI,Skmei 1370 Relógio De Pulso Com Corria De Aço Inoxidável Cor Prata - Fondo Preto/Cinza - Bisel Preto,97,19,9,53,4.4,(977),https://www.mercadolivre.com.br/skmei-1370-relogio-de-pulso-com-corria-de-aco-inoxidavel-cor-prata-fondo-pretocinza-bisel-preto/p/MLB18201905#polycard_client=search-nordic&wid=MLB4660376546&sid=search&searchVariation=MLB18201905&position=44&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,YAZOLE,Relógio Masculino Original Couro Yazole De Pulso Quartzo Cor Da Correia 336 Marrom Branco,129,99,32,50,4.5,(457),https://www.mercadolivre.com.br/relogio-masculino-original-couro-yazole-de-pulso-quartzo-cor-da-correia-336-marrom-branco/p/MLB24699231#polycard_client=search-nordic&wid=MLB3600716425&sid=search&searchVariation=MLB24699231&position=30&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,SAINT GERMAIN,Relógio Minimalista Saint Germain Houston Rosé Gold 40mm Correia Preta Bisel Dourado Fundo Preto,259,90,155,94,5.0,(20),https://www.mercadolivre.com.br/relogio-minimalista-saint-germain-houston-rose-gold-40mm-correia-preta-bisel-dourado-fundo-preto/p/MLB37952581#polycard_client=search-nordic&wid=MLB3886372961&sid=search&searchVariation=MLB37952581&position=41&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TEOLIVER,Relógio Digital Esportivo Prova Dágua Masculino Feminino Surf Surfista Natação Nadador Mergulho Mergulhador Cronômetro Alarme Luz Led Resistente Até 30 Metros De Profundidade,49,90,44,91,4.6,(91),https://www.mercadolivre.com.br/relogio-digital-esportivo-prova-dagua-masculino-feminino-surf-surfista-nataco-nadador-mergulho-mergulhador-cronmetro-alarme-luz-led-resistente-ate-30-metros-de-profundidade/p/MLB40918056#polycard_client=search-nordic&wid=MLB5128141684&sid=search&searchVariation=MLB40918056&position=29&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio G-shock Masculino Digital Dw-5600uhr-1dr,709,35,279,32,4.8,(340),https://www.mercadolivre.com.br/relogio-casio-g-shock-masculino-digital-dw-5600uhr-1dr/p/MLB37313125#polycard_client=search-nordic&wid=MLB3744390439&sid=search&searchVariation=MLB37313125&position=35&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,SKMEI,Relógio Masculino Digital Prova D Agua Skmei Original 1142 Cor da correia Preto Cor do bisel Preto Cor do fundo Preto,78,42,69,81,4.7,(487),https://www.mercadolivre.com.br/relogio-masculino-digital-prova-d-agua-skmei-original-1142-cor-da-correia-preto-cor-do-bisel-preto-cor-do-fundo-preto/p/MLB25085789#polycard_client=search-nordic&wid=MLB3916689334&sid=search&searchVariation=MLB25085789&position=31&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,SECULUS,Relógio Masculino Seculus Analógico Dourado 44011gpsvda3,392,45,259,99,4.7,(60),https://www.mercadolivre.com.br/relogio-masculino-seculus-analogico-dourado-44011gpsvda3/p/MLB25297206#polycard_client=search-nordic&wid=MLB4863527494&sid=search&searchVariation=MLB25297206&position=28&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,MORMAII,Relógio Masculino Wave Mo3415a8p Digital Preto Mormaii,240,53,189,,5.0,(3),https://www.mercadolivre.com.br/relogio-masculino-wave-mo3415a8p-digital-preto-mormaii/p/MLB25359022#polycard_client=search-nordic&wid=MLB5069121452&sid=search&searchVariation=MLB25359022&position=46&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,NIBOSI,Relógio de pulso Nibosi NI2309 com corria de aço inoxidável cor preto,175,16,17,,4.7,(3007),https://www.mercadolivre.com.br/relogio-de-pulso-nibosi-ni2309-com-corria-de-aco-inoxidavel-cor-preto/p/MLB17776109#polycard_client=search-nordic&wid=MLB3057328729&sid=search&searchVariation=MLB17776109&position=33&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Masculino Technos Skymaster 2115mwj/1p Dourado  Cor do fundo Preto,569,90,56,99,4.8,(82),https://www.mercadolivre.com.br/relogio-masculino-technos-skymaster-2115mwj1p-dourado-cor-do-fundo-preto/p/MLB22373960#polycard_client=search-nordic&wid=MLB3913647607&sid=search&searchVariation=MLB22373960&position=34&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Masculino Technos Prata Performance Militar Fundo Preto,358,66,268,99,4.8,(96),https://www.mercadolivre.com.br/relogio-masculino-technos-prata-performance-militar-fundo-preto/p/MLB39249300#polycard_client=search-nordic&wid=MLB5152061888&sid=search&searchVariation=MLB39249300&position=19&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Casio Masculino AE-1200WH-1B  Mundial Quadrado 5 Alarmes Cor da correia Preto,214,57,30,,4.8,(2067),https://www.mercadolivre.com.br/relogio-casio-masculino-ae-1200wh-1b-mundial-quadrado-5-alarmes-cor-da-correia-preto/p/MLB18332447#polycard_client=search-nordic&wid=MLB3903860425&sid=search&searchVariation=MLB18332447&position=20&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CURREN,Relógio de pulso Curren 8291 com corria de couro cor marrom - bisel dorado,144,12,14,,5.0,(17),https://www.mercadolivre.com.br/relogio-de-pulso-curren-8291-com-corria-de-couro-cor-marrom-bisel-dorado/p/MLB38832833#polycard_client=search-nordic&wid=MLB5234473880&sid=search&searchVariation=MLB38832833&position=23&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Technos Masculino Analógico 6p29ahc/8p Cor da correia Preto Cor do bisel Preto Cor do fundo Preto,499,90,354,35,4.6,(78),https://www.mercadolivre.com.br/relogio-technos-masculino-analogico-6p29ahc8p-cor-da-correia-preto-cor-do-bisel-preto-cor-do-fundo-preto/p/MLB19782148#polycard_client=search-nordic&wid=MLB2949500513&sid=search&searchVariation=MLB19782148&position=26&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CASIO,Relógio Masculino Casio Ae-1500wh-8bv CINZA GRAFITE -GRAFITE Cor Do Fundo Preto,359,84,259,41,4.8,(121),https://www.mercadolivre.com.br/relogio-masculino-casio-ae-1500wh-8bv-cinza-grafite-grafite-cor-do-fundo-preto/p/MLB28543451#polycard_client=search-nordic&wid=MLB3551802831&sid=search&searchVariation=MLB28543451&position=27&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,TECHNOS,Relógio Masculino Technos Militar Prateado  Cor da correia Prata Cor do fundo Preto,390,35,249,99,4.8,(214),https://www.mercadolivre.com.br/relogio-masculino-technos-militar-prateado-cor-da-correia-prata-cor-do-fundo-preto/p/MLB21382359#polycard_client=search-nordic&wid=MLB3588486129&sid=search&searchVariation=MLB21382359&position=39&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
Mercado Livre,Joias e Relógios > Relógios > De Pulso,CHAMPION,Relogio Champion Masculino Dourado Banhado Ouro 18k Cor do fundo Preto 3,248,90,229,99,4.7,(263),https://www.mercadolivre.com.br/relogio-champion-masculino-dourado-banhado-ouro-18k-cor-do-fundo-preto-3/p/MLB23637804#polycard_client=search-nordic&wid=MLB3547819519&sid=search&searchVariation=MLB23637804&position=32&search_layout=grid&type=product&tracking_id=445b9a74-c141-44a9-b138-5d1f54ce556b
